t,phase,agl,aglT,V,vs,pitch,bank,e,xt,s,thr,de,dr,flap,offtrack,above,rem,onG,x,z,hdotC,Vc,wK,thC
0.00,ROLL,0.00,1.00,1.99,0.00,9.5,-0.0,-0.2,0.0,396,0.00,0.000,0.022,0.00,,,,3,1,0,,,,
0.10,ROLL,-0.00,1.00,1.99,-0.00,9.5,-0.0,-0.2,0.0,396,0.00,0.000,0.027,0.00,,,,3,1,0,,,,
0.20,ROLL,-0.00,1.00,1.99,-0.00,9.5,-0.0,-0.2,0.0,396,0.00,0.000,0.019,0.00,,,,3,1,0,,,,
0.30,ROLL,-0.00,1.00,1.99,0.00,9.5,-0.0,-0.2,0.0,396,0.00,0.000,0.015,0.00,,,,3,1,0,,,,
0.40,ROLL,-0.00,1.00,1.99,0.00,9.5,-0.0,-0.2,0.0,396,0.00,0.000,0.013,0.00,,,,3,1,0,,,,
0.50,ROLL,-0.00,1.00,1.99,0.01,9.5,0.0,-0.2,0.0,396,1.00,0.000,0.013,0.00,,,,3,1,0,,,,
0.60,ROLL,0.00,1.01,2.17,0.03,9.5,-0.0,-0.2,0.0,396,1.00,0.000,0.018,0.00,,,,3,1,0,,,,
0.70,ROLL,0.01,1.01,2.34,0.00,9.5,-0.0,-0.3,0.0,396,1.00,0.000,0.018,0.00,,,,3,1,0,,,,
0.80,ROLL,0.00,1.01,2.53,-0.02,9.5,-0.1,-0.3,0.0,396,1.00,0.000,0.017,0.00,,,,3,1,0,,,,
0.90,ROLL,0.00,1.01,2.71,-0.00,9.5,-0.1,-0.3,0.0,396,1.00,0.000,0.015,0.00,,,,3,1,0,,,,
1.00,ROLL,0.00,1.01,2.90,0.02,9.5,-0.1,-0.2,0.0,396,1.00,0.000,0.011,0.00,,,,3,1,0,,,,
1.10,ROLL,0.00,1.01,3.10,0.01,9.5,-0.1,-0.2,0.0,396,1.00,0.000,0.013,0.00,,,,3,1,0,,,,
1.20,ROLL,0.00,1.01,3.30,-0.01,9.5,-0.1,-0.2,0.0,395,1.00,0.000,0.014,0.00,,,,3,0,0,,,,
1.30,ROLL,0.00,1.01,3.50,-0.00,9.5,-0.1,-0.2,-0.0,395,1.00,0.000,0.014,0.00,,,,3,0,-0,,,,
1.40,ROLL,0.00,1.01,3.70,0.01,9.5,-0.1,-0.2,-0.0,395,1.00,0.000,0.014,0.00,,,,3,0,-0,,,,
1.50,ROLL,0.00,1.01,3.90,0.01,9.5,-0.0,-0.2,-0.0,395,1.00,0.000,0.013,0.00,,,,3,-0,-0,,,,
1.60,ROLL,0.01,1.01,4.11,-0.00,9.5,-0.0,-0.2,-0.0,395,1.00,0.000,0.012,0.00,,,,3,-0,-0,,,,
1.70,ROLL,0.00,1.01,4.31,-0.00,9.5,0.0,-0.2,-0.0,394,1.00,0.000,0.012,0.00,,,,3,-1,-0,,,,
1.80,ROLL,0.00,1.01,4.52,0.00,9.5,0.0,-0.2,-0.0,394,1.00,0.000,0.011,0.00,,,,3,-1,-0,,,,
1.90,ROLL,0.01,1.01,4.73,0.01,9.5,0.0,-0.2,-0.0,394,1.00,0.000,0.011,0.00,,,,3,-1,-0,,,,
2.00,ROLL,0.01,1.01,4.94,0.00,9.5,0.0,-0.2,-0.0,393,1.00,0.000,0.010,0.00,,,,3,-2,-0,,,,
2.10,ROLL,0.01,1.01,5.15,-0.00,9.5,0.0,-0.2,-0.0,393,1.00,0.000,0.010,0.00,,,,3,-2,-0,,,,
